"","Cluster","Variable","Estimate","Std. Error","z value","Pr(>|z|)"
"sampling_seasonWinter15","Strep(8)/Gem(27) clust","sampling_seasonWinter",0.502533589209603,0.530970801730597,0.946442982498645,0.343922690986654
"(Intercept)16","Strep(8)/Gem(27) clust","ecoli_RF_preds",-1.88915631486602,2.03084970340893,-0.930229505263207,0.352252268276037
"ecoli_RF_preds3","Strep(8)/Gem(27) clust","ecoli_RF_preds",-0.354803044480334,0.452397956314014,-0.784271987811681,0.432880532555492
"age16","Strep(8)/Gem(27) clust","ecoli_RF_preds",-0.00540691980674193,0.0180512828919076,-0.299531054890612,0.764534880673087
"gender116","Strep(8)/Gem(27) clust","ecoli_RF_preds",-0.223475095982547,0.342136920121758,-0.653174453967196,0.513643817337391
"smoked_ever116","Strep(8)/Gem(27) clust","ecoli_RF_preds",0.460682395398833,0.364015967209931,1.26555546156346,0.20567228022761
"smoked_ever216","Strep(8)/Gem(27) clust","ecoli_RF_preds",-0.354997105823459,1.05075459968832,-0.337849680533172,0.735476469162262
"sampling_seasonFall16","Strep(8)/Gem(27) clust","ecoli_RF_preds",0.233906175805081,0.551259363738877,0.42431238576816,0.671338007544982
"sampling_seasonSpring16","Strep(8)/Gem(27) clust","ecoli_RF_preds",-0.433270148856262,0.59735834768935,-0.725310277377391,0.468261702154841
"sampling_seasonWinter16","Strep(8)/Gem(27) clust","ecoli_RF_preds",0.530377052993277,0.529183806775267,1.00225488044557,0.316220508048354
"(Intercept)17","Strep(8)/Gem(27) clust","staph_RF_preds",-2.41669020052414,2.35891322255558,-1.02449304934836,0.305602452156225
"staph_RF_preds3","Strep(8)/Gem(27) clust","staph_RF_preds",-0.0936552041701276,0.256726036359705,-0.364806022396985,0.715256209253046
"age17","Strep(8)/Gem(27) clust","staph_RF_preds",-0.00546411533214568,0.018039242229369,-0.30290159989369,0.761964852060178
"gender117","Strep(8)/Gem(27) clust","staph_RF_preds",-0.231053286969477,0.34174131672586,-0.676105801847849,0.498973473300542
"smoked_ever117","Strep(8)/Gem(27) clust","staph_RF_preds",0.458225719142549,0.363723973958561,1.25981720191684,0.207735312842786
"smoked_ever217","Strep(8)/Gem(27) clust","staph_RF_preds",-0.345244516828965,1.05065335526267,-0.328599832760873,0.742458174490796
"sampling_seasonFall17","Strep(8)/Gem(27) clust","staph_RF_preds",0.255167559784044,0.552047879702884,0.462219979762221,0.643923576778175
"sampling_seasonSpring17","Strep(8)/Gem(27) clust","staph_RF_preds",-0.412593766632913,0.597104870385717,-0.690990455941829,0.489571538832213
"sampling_seasonWinter17","Strep(8)/Gem(27) clust","staph_RF_preds",0.534761538520649,0.529311757536542,1.01029597568259,0.312353508638046
"(Intercept)18","Strep(8)/Gem(27) clust","tetw_RF_preds",0.656238823997872,3.80282024939959,0.172566353642795,0.86299230096671
"tetw_RF_preds3","Strep(8)/Gem(27) clust","tetw_RF_preds",-0.390115012049067,0.369420396433142,-1.05601914733387,0.290959467134484
"age18","Strep(8)/Gem(27) clust","tetw_RF_preds",-0.00522544820964619,0.0180764586122413,-0.289074775194492,0.772524156408181
"gender118","Strep(8)/Gem(27) clust","tetw_RF_preds",-0.215249292917169,0.342578164886081,-0.628321694083296,0.529793222848416
"smoked_ever118","Strep(8)/Gem(27) clust","tetw_RF_preds",0.465378552021115,0.36397062990795,1.27861567329982,0.201032427937327
"smoked_ever218","Strep(8)/Gem(27) clust","tetw_RF_preds",-0.352295762213345,1.05063851202827,-0.335315865714112,0.737386826723339
"sampling_seasonFall18","Strep(8)/Gem(27) clust","tetw_RF_preds",0.224868607422293,0.551576443966196,0.407683485910567,0.683506063034236
"sampling_seasonSpring18","Strep(8)/Gem(27) clust","tetw_RF_preds",-0.44395712755053,0.597816105741172,-0.742631594041972,0.457704755080975
"sampling_seasonWinter18","Strep(8)/Gem(27) clust","tetw_RF_preds",0.529395925178329,0.529424680231385,0.999945686224821,0.317336793263787
"(Intercept)19","Strep(8)/Gem(27) clust","meca_RF_preds",-2.82247249356304,1.58154398360648,-1.78463104587632,0.0743211822235779
"meca_RF_preds3","Strep(8)/Gem(27) clust","meca_RF_preds",-0.123562634959975,0.366206472670267,-0.337412482250775,0.735805976325816
